NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=0.446s, table=0, n_packets=1, n_bytes=60, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,arp_spa=192.168.1.11,arp_tpa=192.168.1.13,arp_op=1 actions=output:2
 cookie=0x0, duration=0.445s, table=0, n_packets=1, n_bytes=60, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,arp_spa=192.168.1.13,arp_tpa=192.168.1.11,arp_op=2 actions=output:1
 cookie=0x0, duration=5755.71s, table=0, n_packets=1, n_bytes=60, idle_age=5610, priority=32769,arp,dl_dst=02:00:00:00:be:ef actions=CONTROLLER:65535
 cookie=0x0, duration=5755.749s, table=0, n_packets=1117, n_bytes=70371, idle_age=4, priority=65000,dl_dst=01:23:20:00:00:01,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=30.781s, table=0, n_packets=180, n_bytes=11940, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=192.168.1.11,nw_dst=192.168.1.13,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.23s, table=0, n_packets=4, n_bytes=659, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=3,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:01,nw_src=192.168.1.14,nw_dst=192.168.1.11,nw_tos=0,tp_src=80,tp_dst=37080 actions=output:1
 cookie=0x0, duration=6.255s, table=0, n_packets=4, n_bytes=659, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=3,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:01,nw_src=192.168.1.14,nw_dst=192.168.1.11,nw_tos=0,tp_src=80,tp_dst=37079 actions=output:1
 cookie=0x0, duration=8.47s, table=0, n_packets=4, n_bytes=625, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=192.168.1.12,nw_dst=192.168.1.13,nw_tos=0,tp_src=80,tp_dst=51619 actions=output:2
 cookie=0x0, duration=8.475s, table=0, n_packets=6, n_bytes=477, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=192.168.1.13,nw_dst=192.168.1.12,nw_tos=0,tp_src=51619,tp_dst=80 actions=output:1
 cookie=0x0, duration=6.257s, table=0, n_packets=6, n_bytes=479, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:04,nw_src=192.168.1.11,nw_dst=192.168.1.14,nw_tos=0,tp_src=37079,tp_dst=80 actions=output:3
 cookie=0x0, duration=3.379s, table=0, n_packets=4, n_bytes=625, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=192.168.1.12,nw_dst=192.168.1.13,nw_tos=0,tp_src=80,tp_dst=51620 actions=output:2
 cookie=0x0, duration=1.232s, table=0, n_packets=6, n_bytes=479, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:04,nw_src=192.168.1.11,nw_dst=192.168.1.14,nw_tos=0,tp_src=37080,tp_dst=80 actions=output:3
 cookie=0x0, duration=22.776s, table=0, n_packets=439, n_bytes=26340, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:04,nw_src=192.168.1.12,nw_dst=192.168.1.14,nw_tos=0,tp_src=0,tp_dst=0 actions=output:3
 cookie=0x0, duration=23.801s, table=0, n_packets=118, n_bytes=7080, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=3,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:02,nw_src=192.168.1.14,nw_dst=192.168.1.12,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=23.799s, table=0, n_packets=118, n_bytes=7080, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:04,nw_src=192.168.1.12,nw_dst=192.168.1.14,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
